First_image,Second_image,Answer
temporal_order_images/PIXPTV-1.png,temporal_order_images/PIXPTV-2.png,First
temporal_order_images/PIXPD7-1.png,temporal_order_images/PIXPD7-2.png,First
temporal_order_images/PIXJ3Y-1.png,temporal_order_images/PIXJ3Y-2.png,First
temporal_order_images/PIXQIZ-2.png,temporal_order_images/PIXQIZ-3.png,First
temporal_order_images/PIXPD7-2.png,temporal_order_images/PIXPD7-1.png,Second
temporal_order_images/PEXEHY-2.png,temporal_order_images/PEXEHY-1.png,Second
temporal_order_images/PEXEXT-3.png,temporal_order_images/PEXEXT-2.png,Second
temporal_order_images/PIXLII-2.png,temporal_order_images/PIXLII-3.png,First
temporal_order_images/PEX35Q-2.png,temporal_order_images/PEX35Q-1.png,Second
temporal_order_images/PIXKPL-1.png,temporal_order_images/PIXKPL-2.png,First
temporal_order_images/PEXECA-3.png,temporal_order_images/PEXECA-4.png,First
temporal_order_images/PEXPCC-1.png,temporal_order_images/PEXPCC-2.png,First
temporal_order_images/PEX9SP-4.png,temporal_order_images/PEX9SP-3.png,Second
temporal_order_images/PEX61F-2.png,temporal_order_images/PEX61F-1.png,Second
temporal_order_images/PEXMDW-1.png,temporal_order_images/PEXMDW-2.png,First
temporal_order_images/PEXCCX-1.png,temporal_order_images/PEXCCX-2.png,First
temporal_order_images/PIXNUR-3.png,temporal_order_images/PIXNUR-2.png,Second
temporal_order_images/PIXOIH-2.png,temporal_order_images/PIXOIH-1.png,Second
temporal_order_images/PIXLQO-1.png,temporal_order_images/PIXLQO-2.png,First
temporal_order_images/PEXNFR-1.png,temporal_order_images/PEXNFR-2.png,First
temporal_order_images/PIX2WJ-4.png,temporal_order_images/PIX2WJ-5.png,First
temporal_order_images/PEXLII-2.png,temporal_order_images/PEXLII-1.png,Second
temporal_order_images/PEXEHY-5.png,temporal_order_images/PEXEHY-6.png,First
temporal_order_images/PEXSQF-3.png,temporal_order_images/PEXSQF-2.png,Second
temporal_order_images/PEXPZ2-2.png,temporal_order_images/PEXPZ2-3.png,First
temporal_order_images/PEXKPL-3.png,temporal_order_images/PEXKPL-2.png,Second
temporal_order_images/PEXFEV-1.png,temporal_order_images/PEXFEV-2.png,First
temporal_order_images/PEX1D2-2.png,temporal_order_images/PEX1D2-1.png,Second
temporal_order_images/PEX7VB-2.png,temporal_order_images/PEX7VB-1.png,Second
temporal_order_images/PEXPCC-3.png,temporal_order_images/PEXPCC-4.png,First
temporal_order_images/PEXF0V-1.png,temporal_order_images/PEXF0V-2.png,First
temporal_order_images/PEX1K2-3.png,temporal_order_images/PEX1K2-2.png,Second
temporal_order_images/PEXJK9-1.png,temporal_order_images/PEXJK9-2.png,First
temporal_order_images/PIX87I-1.png,temporal_order_images/PIX87I-2.png,First
temporal_order_images/PIX1K2-2.png,temporal_order_images/PIX1K2-1.png,Second
temporal_order_images/PEXSQF-2.png,temporal_order_images/PEXSQF-3.png,First
temporal_order_images/PEXOA0-3.png,temporal_order_images/PEXOA0-2.png,Second
temporal_order_images/PEXJQR-3.png,temporal_order_images/PEXJQR-4.png,First
temporal_order_images/PEXM6T-2.png,temporal_order_images/PEXM6T-1.png,Second
temporal_order_images/PEXO7K-3.png,temporal_order_images/PEXO7K-2.png,Second
temporal_order_images/PIXDXC-2.png,temporal_order_images/PIXDXC-1.png,Second
temporal_order_images/PEXSBE-2.png,temporal_order_images/PEXSBE-3.png,First
temporal_order_images/PEXPCC-2.png,temporal_order_images/PEXPCC-1.png,Second
temporal_order_images/PEXJSE-2.png,temporal_order_images/PEXJSE-1.png,Second
temporal_order_images/PIXGLF-2.png,temporal_order_images/PIXGLF-1.png,Second
temporal_order_images/PIX9R1-1.png,temporal_order_images/PIX9R1-2.png,First
temporal_order_images/PIXLII-1.png,temporal_order_images/PIXLII-2.png,First
temporal_order_images/PIXNFR-2.png,temporal_order_images/PIXNFR-1.png,Second
temporal_order_images/PEXOJA-2.png,temporal_order_images/PEXOJA-1.png,Second
temporal_order_images/PIXEXT-2.png,temporal_order_images/PIXEXT-1.png,Second
temporal_order_images/PEXEAS-2.png,temporal_order_images/PEXEAS-1.png,Second
temporal_order_images/PIX2E4-3.png,temporal_order_images/PIX2E4-2.png,Second
temporal_order_images/PIX61F-3.png,temporal_order_images/PIX61F-2.png,Second
temporal_order_images/PIX6L9-8.png,temporal_order_images/PIX6L9-7.png,Second
temporal_order_images/PIXRNP-4.png,temporal_order_images/PIXRNP-3.png,Second
temporal_order_images/PIX6FY-2.png,temporal_order_images/PIX6FY-3.png,First
temporal_order_images/PIXF0V-2.png,temporal_order_images/PIXF0V-1.png,Second
temporal_order_images/PEX28M-3.png,temporal_order_images/PEX28M-2.png,Second
temporal_order_images/PIX35Q-1.png,temporal_order_images/PIX35Q-2.png,First
temporal_order_images/PIXOPA-2.png,temporal_order_images/PIXOPA-1.png,Second
temporal_order_images/PIX4RH-3.png,temporal_order_images/PIX4RH-2.png,Second
temporal_order_images/PEXPCC-4.png,temporal_order_images/PEXPCC-3.png,Second
temporal_order_images/PIXMYT-2.png,temporal_order_images/PIXMYT-3.png,First
temporal_order_images/PEX4RH-2.png,temporal_order_images/PEX4RH-1.png,Second
temporal_order_images/PIXHE7-2.png,temporal_order_images/PIXHE7-1.png,Second
temporal_order_images/PEX1E7-1.png,temporal_order_images/PEX1E7-2.png,First
temporal_order_images/PIXPZ2-2.png,temporal_order_images/PIXPZ2-1.png,Second
temporal_order_images/PIXFXR-1.png,temporal_order_images/PIXFXR-2.png,First
temporal_order_images/PIXM34-2.png,temporal_order_images/PIXM34-3.png,First
temporal_order_images/PEXK1S-2.png,temporal_order_images/PEXK1S-1.png,Second
temporal_order_images/PEX3GI-2.png,temporal_order_images/PEX3GI-4.png,First
temporal_order_images/PIXC9D-2.png,temporal_order_images/PIXC9D-1.png,Second
temporal_order_images/PEXGS6-1.png,temporal_order_images/PEXGS6-2.png,First
temporal_order_images/PEXN96-1.png,temporal_order_images/PEXN96-2.png,First
temporal_order_images/PEX2FD-2.png,temporal_order_images/PEX2FD-3.png,First
temporal_order_images/PIX1Z0-1.png,temporal_order_images/PIX1Z0-2.png,First
temporal_order_images/PIXJQR-4.png,temporal_order_images/PIXJQR-2.png,Second
temporal_order_images/PEXIS9-4.png,temporal_order_images/PEXIS9-3.png,Second
temporal_order_images/PEXDXC-1.png,temporal_order_images/PEXDXC-2.png,First
temporal_order_images/PEXD9R-2.png,temporal_order_images/PEXD9R-3.png,First
temporal_order_images/PEXPTV-2.png,temporal_order_images/PEXPTV-1.png,Second
temporal_order_images/PEXMDW-2.png,temporal_order_images/PEXMDW-1.png,Second
temporal_order_images/PEXGQR-2.png,temporal_order_images/PEXGQR-1.png,Second
temporal_order_images/PIX3GI-1.png,temporal_order_images/PIX3GI-2.png,First
temporal_order_images/PEXEVO-3.png,temporal_order_images/PEXEVO-4.png,First
temporal_order_images/PIXEP6-2.png,temporal_order_images/PIXEP6-1.png,Second
temporal_order_images/PEX19G-3.png,temporal_order_images/PEX19G-2.png,Second
temporal_order_images/PIXASB-3.png,temporal_order_images/PIXASB-4.png,First
temporal_order_images/PEXHYT-2.png,temporal_order_images/PEXHYT-1.png,Second
temporal_order_images/PEXPZ2-1.png,temporal_order_images/PEXPZ2-2.png,First
temporal_order_images/PIX61F-1.png,temporal_order_images/PIX61F-2.png,First
temporal_order_images/PIXGLF-4.png,temporal_order_images/PIXGLF-3.png,Second
temporal_order_images/PIXOJA-1.png,temporal_order_images/PIXOJA-2.png,First
temporal_order_images/PEX6FY-1.png,temporal_order_images/PEX6FY-2.png,First
temporal_order_images/PIX2FD-3.png,temporal_order_images/PIX2FD-2.png,Second
temporal_order_images/PEXSQF-2.png,temporal_order_images/PEXSQF-1.png,Second
temporal_order_images/PEXCJ5-4.png,temporal_order_images/PEXCJ5-3.png,Second
temporal_order_images/PEXJSE-1.png,temporal_order_images/PEXJSE-2.png,First
temporal_order_images/PEX6FY-2.png,temporal_order_images/PEX6FY-1.png,Second
temporal_order_images/PEXEP6-1.png,temporal_order_images/PEXEP6-2.png,First
temporal_order_images/PIXEHY-3.png,temporal_order_images/PIXEHY-2.png,Second
temporal_order_images/PEXHYT-3.png,temporal_order_images/PEXHYT-2.png,Second
temporal_order_images/PEXJ3Y-5.png,temporal_order_images/PEXJ3Y-6.png,First
temporal_order_images/PEX14T-1.png,temporal_order_images/PEX14T-2.png,First
temporal_order_images/PEXJN0-3.png,temporal_order_images/PEXJN0-2.png,Second
temporal_order_images/PEX2FD-1.png,temporal_order_images/PEX2FD-2.png,First
temporal_order_images/PIXRPC-1.png,temporal_order_images/PIXRPC-2.png,First
temporal_order_images/PIXOPA-1.png,temporal_order_images/PIXOPA-2.png,First
temporal_order_images/PEXCJ4-2.png,temporal_order_images/PEXCJ4-1.png,Second
temporal_order_images/PEXSBE-3.png,temporal_order_images/PEXSBE-4.png,First
temporal_order_images/PEXK1S-3.png,temporal_order_images/PEXK1S-2.png,Second
temporal_order_images/PIXFZM-3.png,temporal_order_images/PIXFZM-2.png,Second
temporal_order_images/PIXH58-3.png,temporal_order_images/PIXH58-2.png,Second
temporal_order_images/PIXJNW-2.png,temporal_order_images/PIXJNW-1.png,Second
temporal_order_images/PEXPLF-1.png,temporal_order_images/PEXPLF-2.png,First
temporal_order_images/PIXMF7-2.png,temporal_order_images/PIXMF7-1.png,Second
temporal_order_images/PEX004-1.png,temporal_order_images/PEX004-2.png,First
temporal_order_images/PIX35Q-2.png,temporal_order_images/PIX35Q-1.png,Second
temporal_order_images/PEXTP8-1.png,temporal_order_images/PEXTP8-2.png,First
temporal_order_images/PEX2P6-1.png,temporal_order_images/PEX2P6-2.png,First
temporal_order_images/PEXEAP-3.png,temporal_order_images/PEXEAP-4.png,First
temporal_order_images/PIX6VM-6.png,temporal_order_images/PIX6VM-5.png,Second
temporal_order_images/PIXJQR-2.png,temporal_order_images/PIXJQR-1.png,Second
temporal_order_images/PIX2DH-2.png,temporal_order_images/PIX2DH-3.png,First
temporal_order_images/PEXDS3-1.png,temporal_order_images/PEXDS3-2.png,First
temporal_order_images/PEX7J2-2.png,temporal_order_images/PEX7J2-1.png,Second
temporal_order_images/PEXHPH-1.png,temporal_order_images/PEXHPH-2.png,First
temporal_order_images/PEXGLF-1.png,temporal_order_images/PEXGLF-2.png,First
temporal_order_images/PEXHE7-1.png,temporal_order_images/PEXHE7-2.png,First
temporal_order_images/PIXPTV-3.png,temporal_order_images/PIXPTV-2.png,Second
temporal_order_images/PEXJ3Y-2.png,temporal_order_images/PEXJ3Y-1.png,Second
temporal_order_images/PEXM34-3.png,temporal_order_images/PEXM34-2.png,Second
temporal_order_images/PIX1D2-2.png,temporal_order_images/PIX1D2-1.png,Second
temporal_order_images/PIX1E7-2.png,temporal_order_images/PIX1E7-3.png,First
temporal_order_images/PEX6GU-1.png,temporal_order_images/PEX6GU-2.png,First
temporal_order_images/PIX2Q4-2.png,temporal_order_images/PIX2Q4-1.png,Second
temporal_order_images/PEX1Z0-2.png,temporal_order_images/PEX1Z0-1.png,Second
temporal_order_images/PEX3GI-1.png,temporal_order_images/PEX3GI-2.png,First
temporal_order_images/PEX8M4-2.png,temporal_order_images/PEX8M4-1.png,Second
temporal_order_images/PIXH58-2.png,temporal_order_images/PIXH58-3.png,First
temporal_order_images/PEXEGL-1.png,temporal_order_images/PEXEGL-2.png,First
temporal_order_images/PEXS6D-3.png,temporal_order_images/PEXS6D-4.png,First
temporal_order_images/PEXTBT-2.png,temporal_order_images/PEXTBT-1.png,Second
temporal_order_images/PEX1E7-2.png,temporal_order_images/PEX1E7-1.png,Second
temporal_order_images/PIXJSE-2.png,temporal_order_images/PIXJSE-1.png,Second
temporal_order_images/PIX6VM-1.png,temporal_order_images/PIX6VM-2.png,First
temporal_order_images/PEXIS9-1.png,temporal_order_images/PEXIS9-2.png,First
temporal_order_images/PIXK1S-5.png,temporal_order_images/PIXK1S-6.png,First
temporal_order_images/PEX2FD-2.png,temporal_order_images/PEX2FD-1.png,Second
temporal_order_images/PIXEAP-2.png,temporal_order_images/PIXEAP-1.png,Second
temporal_order_images/PIX2FD-2.png,temporal_order_images/PIX2FD-3.png,First
temporal_order_images/PEXJNG-1.png,temporal_order_images/PEXJNG-2.png,First
temporal_order_images/PIX19G-2.png,temporal_order_images/PIX19G-1.png,Second
temporal_order_images/PEX28M-2.png,temporal_order_images/PEX28M-1.png,Second
temporal_order_images/PIX6L9-2.png,temporal_order_images/PIX6L9-1.png,Second
temporal_order_images/PEXJ3Y-4.png,temporal_order_images/PEXJ3Y-3.png,Second
temporal_order_images/PEXCJ4-1.png,temporal_order_images/PEXCJ4-2.png,First
temporal_order_images/PEXFEV-4.png,temporal_order_images/PEXFEV-3.png,Second
temporal_order_images/PEXH9O-2.png,temporal_order_images/PEXH9O-1.png,Second
temporal_order_images/PEXU1S-2.png,temporal_order_images/PEXU1S-1.png,Second
temporal_order_images/PIXH8N-1.png,temporal_order_images/PIXH8N-2.png,First
temporal_order_images/PIX14T-3.png,temporal_order_images/PIX14T-1.png,Second
temporal_order_images/PIX3IQ-2.png,temporal_order_images/PIX3IQ-1.png,Second
temporal_order_images/PIXQIZ-1.png,temporal_order_images/PIXQIZ-2.png,First
temporal_order_images/PIXPLF-3.png,temporal_order_images/PIXPLF-2.png,Second
temporal_order_images/PEX9SP-2.png,temporal_order_images/PEX9SP-1.png,Second
temporal_order_images/PEXGQR-1.png,temporal_order_images/PEXGQR-2.png,First
temporal_order_images/PEXJQR-4.png,temporal_order_images/PEXJQR-3.png,Second
temporal_order_images/PIX0XV-2.png,temporal_order_images/PIX0XV-3.png,First
temporal_order_images/PIX6FY-2.png,temporal_order_images/PIX6FY-1.png,Second
temporal_order_images/PIXPLF-2.png,temporal_order_images/PIXPLF-1.png,Second
temporal_order_images/PEXD9R-2.png,temporal_order_images/PEXD9R-1.png,Second
temporal_order_images/PIXPTV-2.png,temporal_order_images/PIXPTV-3.png,First
temporal_order_images/PIX6L9-1.png,temporal_order_images/PIX6L9-2.png,First
temporal_order_images/PIXPLF-1.png,temporal_order_images/PIXPLF-2.png,First
temporal_order_images/PIX8M4-2.png,temporal_order_images/PIX8M4-3.png,First
temporal_order_images/PIXLII-2.png,temporal_order_images/PIXLII-1.png,Second
temporal_order_images/PIX61F-2.png,temporal_order_images/PIX61F-3.png,First
temporal_order_images/PEXECA-6.png,temporal_order_images/PEXECA-5.png,Second
temporal_order_images/PIXCCX-1.png,temporal_order_images/PIXCCX-2.png,First
temporal_order_images/PEXJNW-1.png,temporal_order_images/PEXJNW-2.png,First
temporal_order_images/PIXGLF-4.png,temporal_order_images/PIXGLF-5.png,First
temporal_order_images/PEX61F-3.png,temporal_order_images/PEX61F-2.png,Second
temporal_order_images/PEX2Q4-2.png,temporal_order_images/PEX2Q4-1.png,Second
temporal_order_images/PIXPLF-2.png,temporal_order_images/PIXPLF-3.png,First
temporal_order_images/PIXD9R-1.png,temporal_order_images/PIXD9R-2.png,First
temporal_order_images/PEX377-1.png,temporal_order_images/PEX377-2.png,First
temporal_order_images/PIXQN8-1.png,temporal_order_images/PIXQN8-2.png,First
temporal_order_images/PEX1Z0-4.png,temporal_order_images/PEX1Z0-3.png,Second
temporal_order_images/PEXRVR-2.png,temporal_order_images/PEXRVR-1.png,Second
temporal_order_images/PIXGLF-5.png,temporal_order_images/PIXGLF-4.png,Second
temporal_order_images/PIXNYM-1.png,temporal_order_images/PIXNYM-2.png,First
temporal_order_images/PEX6L9-2.png,temporal_order_images/PEX6L9-1.png,Second
temporal_order_images/PEX7VB-1.png,temporal_order_images/PEX7VB-2.png,First
temporal_order_images/PIXPKR-1.png,temporal_order_images/PIXPKR-2.png,First
temporal_order_images/PIX0XV-3.png,temporal_order_images/PIX0XV-2.png,Second
temporal_order_images/PIX2WJ-2.png,temporal_order_images/PIX2WJ-1.png,Second
temporal_order_images/PEXO95-1.png,temporal_order_images/PEXO95-2.png,First
temporal_order_images/PIXD4K-2.png,temporal_order_images/PIXD4K-1.png,Second
temporal_order_images/PEXGRS-1.png,temporal_order_images/PEXGRS-2.png,First
temporal_order_images/PEXEVO-4.png,temporal_order_images/PEXEVO-3.png,Second
temporal_order_images/PEXMYT-1.png,temporal_order_images/PEXMYT-2.png,First
temporal_order_images/PIXASB-2.png,temporal_order_images/PIXASB-1.png,Second
temporal_order_images/PIX0YQ-2.png,temporal_order_images/PIX0YQ-3.png,First
temporal_order_images/PIXHYT-2.png,temporal_order_images/PIXHYT-1.png,Second
temporal_order_images/PIX4RH-2.png,temporal_order_images/PIX4RH-1.png,Second
temporal_order_images/PEXGRS-2.png,temporal_order_images/PEXGRS-1.png,Second
temporal_order_images/PEX3IQ-2.png,temporal_order_images/PEX3IQ-1.png,Second
temporal_order_images/PIXMYT-2.png,temporal_order_images/PIXMYT-1.png,Second
temporal_order_images/PIXJNW-1.png,temporal_order_images/PIXJNW-2.png,First
temporal_order_images/PEX93L-1.png,temporal_order_images/PEX93L-2.png,First
temporal_order_images/PEXQIZ-1.png,temporal_order_images/PEXQIZ-2.png,First
temporal_order_images/PIXNFR-1.png,temporal_order_images/PIXNFR-2.png,First
temporal_order_images/PIXFXR-2.png,temporal_order_images/PIXFXR-1.png,Second
temporal_order_images/PIX1K2-1.png,temporal_order_images/PIX1K2-2.png,First
temporal_order_images/PEXT7F-1.png,temporal_order_images/PEXT7F-2.png,First
temporal_order_images/PIX7VB-1.png,temporal_order_images/PIX7VB-2.png,First
temporal_order_images/PIXJNG-1.png,temporal_order_images/PIXJNG-2.png,First
temporal_order_images/PIX9SP-2.png,temporal_order_images/PIX9SP-3.png,First
temporal_order_images/PEX68O-5.png,temporal_order_images/PEX68O-4.png,Second
temporal_order_images/PEXMYT-2.png,temporal_order_images/PEXMYT-1.png,Second
temporal_order_images/PIX28M-2.png,temporal_order_images/PIX28M-1.png,Second
temporal_order_images/PIXJNW-3.png,temporal_order_images/PIXJNW-2.png,Second
temporal_order_images/PIX2WJ-4.png,temporal_order_images/PIX2WJ-3.png,Second
temporal_order_images/PIXGQR-1.png,temporal_order_images/PIXGQR-2.png,First
temporal_order_images/PIXKPL-2.png,temporal_order_images/PIXKPL-1.png,Second
temporal_order_images/PIX7VB-3.png,temporal_order_images/PIX7VB-2.png,Second
temporal_order_images/PEXM34-1.png,temporal_order_images/PEXM34-2.png,First
temporal_order_images/PIXRNP-1.png,temporal_order_images/PIXRNP-2.png,First
temporal_order_images/PEXPLF-2.png,temporal_order_images/PEXPLF-1.png,Second
temporal_order_images/PEXDGJ-2.png,temporal_order_images/PEXDGJ-1.png,Second
temporal_order_images/PIX2FD-2.png,temporal_order_images/PIX2FD-1.png,Second
temporal_order_images/PIXDGJ-2.png,temporal_order_images/PIXDGJ-1.png,Second
temporal_order_images/PIXFDP-1.png,temporal_order_images/PIXFDP-2.png,First
temporal_order_images/PEXEHY-4.png,temporal_order_images/PEXEHY-3.png,Second
temporal_order_images/PEXKPL-2.png,temporal_order_images/PEXKPL-1.png,Second
temporal_order_images/PIX6FY-1.png,temporal_order_images/PIX6FY-2.png,First
temporal_order_images/PEXFI5-3.png,temporal_order_images/PEXFI5-4.png,First
temporal_order_images/PEXNES-3.png,temporal_order_images/PEXNES-2.png,Second
temporal_order_images/PIX1D2-2.png,temporal_order_images/PIX1D2-3.png,First
temporal_order_images/PEXIPP-1.png,temporal_order_images/PEXIPP-2.png,First
temporal_order_images/PEX1Z0-1.png,temporal_order_images/PEX1Z0-2.png,First
temporal_order_images/PEX004-3.png,temporal_order_images/PEX004-4.png,First
temporal_order_images/PIXDXC-1.png,temporal_order_images/PIXDXC-2.png,First
temporal_order_images/PEXFXR-2.png,temporal_order_images/PEXFXR-1.png,Second
temporal_order_images/PEXQIZ-2.png,temporal_order_images/PEXQIZ-3.png,First
temporal_order_images/PEXC9D-1.png,temporal_order_images/PEXC9D-2.png,First
temporal_order_images/PIXGLF-3.png,temporal_order_images/PIXGLF-4.png,First
temporal_order_images/PEX2Q4-1.png,temporal_order_images/PEX2Q4-2.png,First
temporal_order_images/PIX9R1-2.png,temporal_order_images/PIX9R1-1.png,Second
temporal_order_images/PIX326-1.png,temporal_order_images/PIX326-2.png,First
temporal_order_images/PEXD9F-1.png,temporal_order_images/PEXD9F-2.png,First
temporal_order_images/PIX1D2-1.png,temporal_order_images/PIX1D2-2.png,First
temporal_order_images/PEXEHY-6.png,temporal_order_images/PEXEHY-5.png,Second
temporal_order_images/PIX7J2-1.png,temporal_order_images/PIX7J2-2.png,First
temporal_order_images/PIX004-5.png,temporal_order_images/PIX004-4.png,Second
temporal_order_images/PEXD9R-1.png,temporal_order_images/PEXD9R-2.png,First
temporal_order_images/PEXU1S-3.png,temporal_order_images/PEXU1S-2.png,Second
temporal_order_images/PEXM6T-5.png,temporal_order_images/PEXM6T-4.png,Second
temporal_order_images/PIXD4K-1.png,temporal_order_images/PIXD4K-2.png,First
temporal_order_images/PEXF0V-2.png,temporal_order_images/PEXF0V-1.png,Second
temporal_order_images/PEX35Q-1.png,temporal_order_images/PEX35Q-2.png,First
temporal_order_images/PEXQIZ-2.png,temporal_order_images/PEXQIZ-1.png,Second
temporal_order_images/PIXDGJ-1.png,temporal_order_images/PIXDGJ-2.png,First
temporal_order_images/PIXLHN-1.png,temporal_order_images/PIXLHN-2.png,First
temporal_order_images/PIX87I-2.png,temporal_order_images/PIX87I-1.png,Second
temporal_order_images/PIXEAS-1.png,temporal_order_images/PIXEAS-2.png,First
temporal_order_images/PIX4RH-2.png,temporal_order_images/PIX4RH-3.png,First
temporal_order_images/PEXLQO-1.png,temporal_order_images/PEXLQO-2.png,First
temporal_order_images/PEX9SP-5.png,temporal_order_images/PEX9SP-6.png,First
temporal_order_images/PIXIPP-2.png,temporal_order_images/PIXIPP-1.png,Second
temporal_order_images/PIX0XV-2.png,temporal_order_images/PIX0XV-1.png,Second
temporal_order_images/PEXNES-2.png,temporal_order_images/PEXNES-3.png,First
temporal_order_images/PIXH8N-3.png,temporal_order_images/PIXH8N-2.png,Second
temporal_order_images/PEXH58-2.png,temporal_order_images/PEXH58-1.png,Second
temporal_order_images/PEXRNP-2.png,temporal_order_images/PEXRNP-1.png,Second
temporal_order_images/PEXDS3-2.png,temporal_order_images/PEXDS3-1.png,Second
temporal_order_images/PEXJK9-3.png,temporal_order_images/PEXJK9-2.png,Second
temporal_order_images/PIXJSE-1.png,temporal_order_images/PIXJSE-2.png,First
temporal_order_images/PEXRNP-2.png,temporal_order_images/PEXRNP-3.png,First
temporal_order_images/PEXM6T-1.png,temporal_order_images/PEXM6T-2.png,First
temporal_order_images/PIXH8N-2.png,temporal_order_images/PIXH8N-1.png,Second
temporal_order_images/PIXHE7-1.png,temporal_order_images/PIXHE7-2.png,First
temporal_order_images/PIX6L9-7.png,temporal_order_images/PIX6L9-8.png,First
temporal_order_images/PEXEXT-2.png,temporal_order_images/PEXEXT-1.png,Second
temporal_order_images/PEX0YQ-2.png,temporal_order_images/PEX0YQ-3.png,First
temporal_order_images/PEXM34-2.png,temporal_order_images/PEXM34-3.png,First
temporal_order_images/PIXOA0-2.png,temporal_order_images/PIXOA0-1.png,Second
temporal_order_images/PEX7J2-1.png,temporal_order_images/PEX7J2-2.png,First
temporal_order_images/PEXFXR-2.png,temporal_order_images/PEXFXR-3.png,First
temporal_order_images/PIXNUR-2.png,temporal_order_images/PIXNUR-1.png,Second
temporal_order_images/PIX7J2-2.png,temporal_order_images/PIX7J2-1.png,Second
temporal_order_images/PIXNES-3.png,temporal_order_images/PIXNES-2.png,Second
temporal_order_images/PIXEGL-2.png,temporal_order_images/PIXEGL-1.png,Second
temporal_order_images/PIX2P6-2.png,temporal_order_images/PIX2P6-3.png,First
temporal_order_images/PIX7J2-3.png,temporal_order_images/PIX7J2-2.png,Second
temporal_order_images/PEX0XV-2.png,temporal_order_images/PEX0XV-1.png,Second
